,filename,token_dupl,lemmas,lemma_dupl,avg_forms_per_lemma,avg_sent_len,unique_ft_clusts,perc_dupl_ft_clusts
43,../TheLatinLibraryScraper/data/texts/balbus.txt,0.3993,2642,0.2850113550340651,1.4117,12.2315,311,0.1177
44,../TheLatinLibraryScraper/data/texts/balde_,0.9375,16,0.9375,1.0,5.3333,10,0.625
45,../TheLatinLibraryScraper/data/texts/balde_balde1.txt,0.8346,133,0.8270676691729323,1.0091,10.2308,53,0.3985
46,../TheLatinLibraryScraper/data/texts/balde_balde2.txt,0.8152,211,0.7962085308056872,1.0238,14.0667,70,0.3318
47,../TheLatinLibraryScraper/data/texts/baldo.txt,0.4012,11068,0.27331044452475606,1.4893,16.5194,454,0.041
48,../TheLatinLibraryScraper/data/texts/bebel_,0.3416,22349,0.2263635956866079,1.5226,14.8993,582,0.026
49,../TheLatinLibraryScraper/data/texts/bede.txt,0.85,40,0.85,1.0,5.7143,12,0.3
50,../TheLatinLibraryScraper/data/texts/benedict.txt,0.2894,15541,0.18660317868863008,1.5662,15.2512,519,0.0334
51,../TheLatinLibraryScraper/data/texts/berengar.txt,0.4619,6467,0.35735271377764033,1.2977,12.7554,414,0.064
52,../TheLatinLibraryScraper/data/texts/bernardcluny.txt,0.8846,26,0.8846153846153846,1.0,5.2,11,0.4231
53,../TheLatinLibraryScraper/data/texts/bernardcluny1.txt,0.3508,11706,0.26798223133435845,1.329,13.8861,378,0.0323
54,../TheLatinLibraryScraper/data/texts/biggs_,0.3646,7314,0.26210008203445445,1.4027,24.8776,440,0.0602
55,../TheLatinLibraryScraper/data/texts/bill.rights.txt,0.5935,556,0.4856115107913669,1.2333,15.8857,134,0.241
56,../TheLatinLibraryScraper/data/texts/blesensis.txt,0.2986,9119,0.20583397302335782,1.463,17.5365,386,0.0423
57,../TheLatinLibraryScraper/data/texts/boethiusdacia.txt,0.6452,31,0.6451612903225806,1.0,6.2,13,0.4194
58,../TheLatinLibraryScraper/data/texts/boethiusdacia_deaeternitate.txt,0.162,9031,0.09212711770568044,1.7764,18.7755,363,0.0402
59,../TheLatinLibraryScraper/data/texts/boskovic_,0.4317,4542,0.36305592250110086,1.1941,10.3699,272,0.0599
60,../TheLatinLibraryScraper/data/texts/boym_,0.4876,4352,0.39499080882352944,1.2408,13.8599,319,0.0733
61,../TheLatinLibraryScraper/data/texts/buchanan_,0.4121,6185,0.29555375909458365,1.4026,23.428,346,0.0559
62,../TheLatinLibraryScraper/data/texts/calpurniusflaccus.txt,0.3821,8649,0.26419239218406754,1.4543,9.8284,413,0.0478
63,../TheLatinLibraryScraper/data/texts/calpurniussiculus.txt,0.4768,6051,0.3485374318294497,1.3803,14.8309,347,0.0573
